"id_category";"id_product";"position"
"0";"875";"1"
"0";"368";"2"
"0";"1054";"3"
"0";"1120";"4"
"0";"1190";"5"
"0";"1332";"6"
"0";"1354";"7"
"0";"1355";"8"
"0";"1396";"9"
"0";"4862";"11"
"2";"1";"1"
"2";"2";"2"
"2";"3";"3"
"2";"4";"4"
"2";"5";"5"
"2";"6";"6"
"2";"7";"7"
"2";"8";"8"
"2";"9";"9"
"2";"10";"10"
"2";"11";"11"
"2";"12";"12"
"2";"13";"13"
"2";"14";"14"
"2";"15";"15"
"2";"16";"16"
"2";"17";"17"
"2";"18";"18"
"2";"19";"19"
"2";"245";"24"
"2";"978";"24"
"2";"1809";"33"
"2";"1810";"33"
"2";"1811";"34"
"2";"1812";"35"
"2";"1814";"37"
"2";"1813";"38"
"2";"1815";"38"
"2";"1818";"41"
"2";"1820";"42"
"2";"1817";"43"
"2";"1819";"44"
"2";"1822";"44"
"2";"1821";"45"
"2";"2117";"80"
"2";"2097";"81"
"2";"2098";"81"
"2";"2116";"82"
"2";"2160";"91"
"2";"2162";"92"
"2";"2201";"100"
"2";"2204";"101"
"2";"2152";"103"
"2";"2223";"103"
"2";"2153";"104"
"2";"2224";"104"
"2";"2225";"104"
"2";"2202";"107"
"2";"2318";"120"
"2";"2135";"121"
"2";"2157";"121"
"2";"2150";"123"
"2";"2324";"123"
"2";"2151";"125"
"2";"2320";"125"
"2";"2169";"130"
"2";"4236";"131"
"2";"4237";"132"
"2";"2167";"133"
"2";"4238";"133"
"2";"4239";"134"
"2";"2199";"135"
"2";"4244";"136"
"2";"4258";"138"
"2";"4518";"140"
"2";"4524";"142"
"2";"4629";"150"
"2";"4541";"151"
"2";"4705";"152"
"2";"4630";"153"
"2";"4738";"156"
"2";"4739";"157"
"2";"4744";"157"
"2";"4839";"160"
"2";"4897";"161"
"2";"2148";"162"
"2";"5009";"163"
"2";"5025";"164"
"2";"5028";"165"
"2";"5013";"166"
"2";"2235";"167"
"2";"5105";"168"
"2";"5164";"170"
"2";"5244";"171"
"2";"5245";"172"
"2";"1429";"173"
"2";"5348";"174"
"7";"16";"1"
"7";"17";"2"
"7";"18";"3"
"8";"6";"1"
"8";"7";"2"
"8";"8";"3"
"8";"9";"4"
"8";"10";"5"
"8";"11";"6"
"8";"15";"7"
"8";"19";"8"
"12";"5107";"3"
"13";"24";"10"
"13";"31";"11"
"13";"57";"11"
"13";"20";"16"
"13";"30";"16"
"13";"59";"16"
"13";"40";"17"
"13";"58";"17"
"13";"37";"18"
"13";"226";"19"
"13";"227";"20"
"13";"2103";"30"
"13";"2112";"32"
"13";"2115";"33"
